Family;Group;Language;Location;Altitude;Longitude
Mayan;Mamean;Mam;Malacatancito;14.677453;-90.454212
Mayan;Mamean;Mam;Todos Santos Cuchumatán;15.5116;-91.6051
Mayan;Mamean;Mam;San Rafael Pétzal;15.416667;-91.666667
Mayan;Mamean;Mam;Colotenango;15.405353;-91.715566
Mayan;Mamean;Mam;Santa Bárbara;15.3167;-91.6167
Mayan;Mamean;Mam;San Juan Atitán;15.433333;-91.633333
Mayan;Mamean;Mam;Sipacapa;15.212778;-91.634167
Mayan;Mamean;Mam;Aguacatán;15.342949;-91.311982
Mayan;Mamean;Mam;Pueblo Nuevo;14.622778;-90.531389
Mayan;Mamean;Mam;San Gaspar Ixchil;15.383333;-91.716667
Mayan;Mamean;Mam;La Libertad;15.5;-91.8333
Mayan;Mamean;Mam;La Democracia;15.6333;-91.8667
Mayan;Mamean;Mam;Huehuetenango;15.314722;-91.476111
Mayan;Mamean;Mam;Chiantla;15.35;-91.45
Mayan;Mamean;Mam;Santiago Chimaltenango;15.466667;-91.716667
Mayan;Mamean;Mam;San Juan Ixcoy;15.6;-91.45
Mayan;Mamean;Mam;San Antonio Sacatepéquez;14.966667;-91.733333
Mayan;Mamean;Mam;San Lorenzo;15.021111;-91.737778
Mayan;Mamean;Mam;Tejutla;15.1225;-91.805278
Mayan;Mamean;Mam;San Rafael Pie de la Cuesta;14.933333;-91.916667
Mayan;Mamean;Mam;San Pedro Sacatepéquez;14.966389;-91.7775
Mayan;Mamean;Mam;La Reforma;14.8;-91.8167
Mayan;Mamean;Mam;El Quetzal;14.7667;-91.8167
Mayan;Mamean;Mam;Sibinal;15.133333;-92.05
Mayan;Mamean;Mam;San José Ojetenam;15.216667;-91.966667
Mayan;Mamean;Mam;Pajapita;14.724261;-92.033442
Mayan;Mamean;Mam;San Cristóbal Cucho;14.9;-91.783333
Mayan;Mamean;Mam;Nuevo Progreso;14.8;-91.916667
Mayan;Mamean;Mam;San Marcos;14.965278;-91.795833
Mayan;Mamean;Mam;Concepción Tutuapa;15.283333;-91.783333
Mayan;Mamean;Mam;San Pablo;14.9333;-92
Mayan;Mamean;Mam;Ixchiguán;15.164167;-91.933333
Mayan;Mamean;Mam;San Miguel Ixtahuacán;15.25;-91.75
Mayan;Mamean;Mam;Tacaná;15.241457;-92.068358
Mayan;Mamean;Mam;Tajumulco;15.083889;-91.923333
Mayan;Mamean;Mam;Champerico;14.293;-91.914
Mayan;Mamean;Mam;Catarina;14.85;-92.0833
Mayan;Mamean;Mam;Esquipulas Palo Gordo;14.933333;-91.816667
Mayan;Mamean;Mam;Malacatán;14.9;-92.049722
Mayan;Mamean;Mam;Río Blanco;15.0386;-91.6856
